Epoch,Total_Loss,Reg_Loss,Cls_Loss,RMSE_SM0,MAE_SM0,ME_SM0,RMSE_SM20,MAE_SM20,ME_SM20,Accuracy,F1_Score,Precision,Recall
1,2.190003,0.063263,2.126741,19.962281,15.656088,1.780950,20.107198,15.556532,3.977929,0.286825,0.273032,0.284173,0.286825
2,1.905684,0.042149,1.863535,18.246314,14.618065,-4.159449,17.528784,14.246284,-3.575360,0.363150,0.351996,0.401587,0.363150
3,1.778426,0.036042,1.742384,15.193020,11.719433,1.187364,16.303563,12.538434,4.356509,0.404473,0.372773,0.426217,0.404473
4,1.664157,0.031435,1.632722,14.990974,11.755326,0.627955,14.441396,11.335485,1.626460,0.471561,0.459588,0.490810,0.471561
5,1.556837,0.028031,1.528806,14.194275,11.339420,-3.765668,13.412881,10.609136,-2.244183,0.524550,0.509733,0.530642,0.524550
6,1.459621,0.025688,1.433933,13.237837,10.226947,1.075662,12.193199,9.545394,1.121845,0.533301,0.526211,0.538422,0.533301
7,1.413628,0.024486,1.389141,12.215011,9.416972,0.964820,11.785208,9.015274,1.255075,0.569276,0.563221,0.582123,0.569276
8,1.329449,0.019764,1.309685,12.028217,9.398397,1.117340,12.501307,9.752626,2.814468,0.578999,0.559548,0.589502,0.578999
9,1.292157,0.020124,1.272033,11.938473,9.104762,3.010305,12.306085,9.355903,3.331247,0.618862,0.609764,0.640940,0.618862
10,1.198109,0.017200,1.180909,10.697294,8.295655,2.320851,11.371707,8.812830,0.694983,0.643170,0.626158,0.678542,0.643170
11,1.174209,0.018256,1.155953,12.015568,9.410635,0.268166,11.851432,9.096018,0.565628,0.655323,0.651928,0.661160,0.655323
12,1.155496,0.018027,1.137468,10.912343,8.660683,0.121355,11.361489,8.954141,-1.474002,0.703452,0.701129,0.707398,0.703452
13,1.118416,0.017217,1.101199,11.119670,8.669929,1.409280,10.964912,8.423979,1.829300,0.697618,0.681571,0.721836,0.697618
14,1.027318,0.013979,1.013338,10.271393,7.777855,3.124954,10.465799,7.787733,2.824393,0.752066,0.748694,0.754493,0.752066
15,1.023249,0.015194,1.008054,9.090537,7.015104,0.070801,9.297922,7.283376,-0.177579,0.758872,0.754324,0.767882,0.758872
16,0.989014,0.014466,0.974549,9.406435,6.936388,0.465813,10.077622,7.474720,-0.476520,0.749149,0.743956,0.762393,0.749149
17,0.980337,0.014223,0.966114,9.904258,7.432388,-0.153282,10.157687,7.504174,-0.960778,0.768595,0.765361,0.775152,0.768595
18,0.929426,0.013940,0.915487,9.320285,7.154639,1.360839,9.910633,7.453316,1.414623,0.799222,0.796135,0.802265,0.799222
19,0.890481,0.013285,0.877196,8.841412,6.874045,0.176011,9.337650,7.331930,0.092754,0.797764,0.799208,0.803211,0.797764
20,0.862977,0.012570,0.850406,8.870044,6.752935,1.003250,8.644701,6.737891,0.867874,0.817210,0.816626,0.817762,0.817210
21,0.868058,0.012666,0.855392,9.650256,7.241229,2.588993,9.479649,7.299847,3.079350,0.801167,0.799955,0.809856,0.801167
22,0.791175,0.011661,0.779514,9.168058,7.021449,-0.408620,8.517506,6.606061,0.622392,0.816237,0.814860,0.828211,0.816237
23,0.807575,0.012394,0.795181,8.695465,6.775949,-1.626278,9.527201,7.392688,-1.665604,0.827419,0.826083,0.831695,0.827419
24,0.774207,0.011791,0.762416,8.814730,6.688578,-0.351039,8.495590,6.492405,0.277380,0.837141,0.838296,0.841258,0.837141
25,0.750133,0.010817,0.739317,8.892089,6.856259,-1.652514,8.871814,6.912097,-1.463686,0.845406,0.844872,0.849443,0.845406
26,0.746703,0.010280,0.736423,8.708466,6.598499,1.676835,9.002027,6.835614,2.983667,0.856101,0.855556,0.859562,0.856101
27,0.741009,0.011015,0.729994,9.617075,7.336482,-1.120673,9.035321,6.786834,0.165416,0.854643,0.854930,0.859332,0.854643
28,0.711154,0.010379,0.700775,8.928843,6.709417,0.915435,8.949099,6.763905,0.232024,0.853184,0.852157,0.861850,0.853184
29,0.679428,0.009724,0.669703,7.309338,5.605586,-0.403663,8.624099,6.383708,0.302936,0.878464,0.878094,0.881552,0.878464
30,0.670853,0.009636,0.661217,8.285537,6.310533,0.424940,8.449985,6.457392,0.625183,0.878464,0.880073,0.887062,0.878464
31,0.690438,0.009985,0.680453,8.365835,6.456041,0.514474,8.798168,6.782094,-0.109725,0.868741,0.868483,0.878485,0.868741
32,0.680822,0.010517,0.670305,7.987278,5.878621,-0.112843,7.957666,6.051976,0.076952,0.880895,0.881252,0.884540,0.880895
33,0.634053,0.009502,0.624551,8.224687,6.357257,-1.996431,8.827706,6.804186,-1.995227,0.882353,0.882167,0.886123,0.882353
34,0.634407,0.009101,0.625306,8.153405,6.341340,-1.322736,8.358568,6.415297,-1.655317,0.875061,0.876430,0.881756,0.875061
35,0.624366,0.010239,0.614128,8.268786,6.465623,-1.506840,8.237402,6.288235,-1.766385,0.871172,0.872179,0.875865,0.871172
36,0.604029,0.008420,0.595609,7.974662,5.872231,0.783264,8.162286,6.098445,0.354076,0.874575,0.874192,0.877721,0.874575
37,0.636260,0.009818,0.626442,8.096585,6.249625,3.122091,8.747029,6.540372,3.618343,0.898396,0.899137,0.901554,0.898396
38,0.607801,0.008698,0.599102,7.785549,6.074471,2.882094,7.913443,6.208690,2.922093,0.877005,0.876084,0.880866,0.877005
39,0.617645,0.008987,0.608658,6.938393,5.234929,-0.716058,7.177715,5.367278,-0.059281,0.901313,0.901939,0.911514,0.901313
40,0.567509,0.007868,0.559642,7.724592,5.646392,-0.323828,8.060402,5.810177,0.315189,0.908119,0.909209,0.914734,0.908119
41,0.571877,0.009205,0.562672,8.295079,6.477755,-0.822192,8.665907,6.626448,-0.661193,0.889645,0.890123,0.895249,0.889645
42,0.534180,0.008500,0.525680,8.095368,6.121807,0.362036,8.234670,6.324883,0.670986,0.894993,0.895228,0.897230,0.894993
43,0.528276,0.008789,0.519487,8.583986,6.355444,-1.987565,8.176859,5.953300,-0.917169,0.901313,0.901461,0.903482,0.901313
44,0.543113,0.008658,0.534455,6.977925,5.341723,-0.790391,7.161148,5.535829,-0.773811,0.921245,0.921802,0.927147,0.921245
45,0.496471,0.008082,0.488389,7.595429,5.651157,0.490971,7.424118,5.654404,0.362671,0.906174,0.906406,0.907188,0.906174
46,0.547129,0.009201,0.537928,8.431727,6.211138,1.291975,8.977262,6.541634,1.284078,0.916383,0.916880,0.923283,0.916383
47,0.482988,0.007802,0.475185,7.747963,5.709359,1.405619,7.709603,5.881036,1.069074,0.910063,0.911218,0.921529,0.910063
48,0.505827,0.007141,0.498685,7.499440,5.733948,0.219867,7.381797,5.686568,0.638092,0.908605,0.910072,0.919041,0.908605
49,0.462795,0.007601,0.455194,8.186116,6.000115,0.520840,7.969759,5.985650,-0.223302,0.901313,0.901503,0.906516,0.901313
50,0.488842,0.008153,0.480689,7.612307,5.744395,-1.681239,7.458658,5.715039,-1.088943,0.926592,0.926699,0.928071,0.926592
51,0.507601,0.007799,0.499801,7.551871,5.636329,-0.423921,7.256590,5.447225,-0.443080,0.916869,0.917435,0.921610,0.916869
52,0.466136,0.008244,0.457892,7.641712,5.891570,-0.439739,7.754039,6.025989,-0.778168,0.924161,0.924240,0.929348,0.924161
53,0.440443,0.007410,0.433033,6.796271,5.162112,-0.496640,6.993626,5.351389,-0.022727,0.934370,0.934392,0.936638,0.934370
54,0.453681,0.007460,0.446221,6.872708,5.200211,0.688130,7.119004,5.264551,0.661865,0.925134,0.925257,0.929549,0.925134
55,0.425647,0.007651,0.417997,7.038092,5.200047,-0.467288,7.172754,5.406594,-1.499278,0.927564,0.928040,0.931113,0.927564
56,0.407208,0.006870,0.400338,6.819752,5.259720,-1.726266,6.554722,5.032365,-1.200313,0.932912,0.933595,0.937882,0.932912
57,0.451275,0.007797,0.443478,6.752496,5.240526,-0.067550,7.133021,5.535038,0.093443,0.927078,0.927743,0.930388,0.927078
58,0.425488,0.006837,0.418650,7.302008,5.557129,2.340876,7.791842,6.041303,3.089647,0.926592,0.927716,0.933321,0.926592
59,0.437958,0.008007,0.429952,6.564982,4.871588,0.564611,6.795067,5.170251,0.213976,0.932912,0.933537,0.936324,0.932912
60,0.444876,0.007131,0.437745,7.353976,5.336846,1.024440,7.553369,5.491436,1.571239,0.914439,0.914871,0.920440,0.914439
61,0.410028,0.007277,0.402750,7.284420,5.452328,1.320120,7.464426,5.589573,1.130741,0.926592,0.927587,0.931774,0.926592
62,0.436933,0.007929,0.429004,7.547563,5.471723,-0.266124,7.273736,5.315279,0.199185,0.914925,0.915463,0.917488,0.914925
63,0.430901,0.007572,0.423329,6.685112,4.935933,1.207223,6.756314,5.117561,0.905915,0.927564,0.928349,0.933048,0.927564
64,0.381167,0.006633,0.374534,6.668864,5.040900,-0.208638,6.653841,5.075132,0.926017,0.935343,0.935844,0.938262,0.935343
65,0.391897,0.006733,0.385165,6.820348,5.122306,1.763809,6.903869,5.120093,1.273046,0.938746,0.939272,0.940342,0.938746
66,0.398132,0.006407,0.391725,7.037434,5.244258,-0.137388,7.487834,5.538487,-0.080682,0.941176,0.941230,0.942813,0.941176
67,0.382091,0.006334,0.375757,6.881946,5.101122,0.657317,7.087144,5.341707,1.128469,0.931940,0.932545,0.934967,0.931940
68,0.375918,0.006321,0.369597,6.857940,5.058170,0.264248,6.957549,5.235933,0.692321,0.913466,0.913813,0.918069,0.913466
69,0.393160,0.006784,0.386376,6.915357,5.047801,-0.719468,6.819522,4.914861,-0.220967,0.942149,0.943299,0.949222,0.942149
70,0.396753,0.006773,0.389980,6.583926,4.938679,0.514469,6.616617,4.999060,-0.058514,0.937287,0.937326,0.939599,0.937287
71,0.395665,0.007042,0.388623,6.895941,5.187034,-0.946027,7.010722,5.256396,-0.882273,0.932912,0.933141,0.935441,0.932912
72,0.392746,0.007259,0.385487,8.258095,6.158031,-1.447265,7.909878,6.086073,-1.650565,0.928537,0.928848,0.933338,0.928537
73,0.365974,0.007348,0.358626,6.265035,4.816872,-1.553014,6.436404,5.014142,-1.859520,0.945552,0.946135,0.948845,0.945552
74,0.344963,0.006422,0.338540,6.637005,5.119963,0.748372,6.145357,4.707901,0.307118,0.939718,0.939949,0.941328,0.939718
75,0.328872,0.005914,0.322957,5.979118,4.536045,-0.197660,5.903031,4.509291,0.030971,0.946038,0.946550,0.949133,0.946038
76,0.373074,0.006914,0.366160,6.578660,4.981021,-1.263100,7.474496,5.811200,-2.301239,0.942149,0.942477,0.944674,0.942149
77,0.365935,0.007228,0.358707,6.867755,4.987051,0.552227,6.453876,4.894429,0.767486,0.934857,0.935562,0.938641,0.934857
78,0.341396,0.006228,0.335168,6.613840,5.022862,0.739905,6.769460,5.115436,1.200270,0.935343,0.935903,0.937561,0.935343
79,0.337002,0.006322,0.330680,6.725855,4.985504,0.450992,6.618717,4.949067,0.465510,0.941663,0.942188,0.943427,0.941663
80,0.326639,0.005823,0.320816,6.661683,5.091248,-0.407923,7.423891,5.786736,-1.637145,0.946038,0.946823,0.948537,0.946038
81,0.328831,0.005867,0.322965,6.105955,4.621600,-0.509856,6.063967,4.576343,-0.251423,0.947496,0.947971,0.949411,0.947496
82,0.327329,0.005435,0.321894,6.029966,4.608955,1.606471,6.108644,4.657313,1.036992,0.950899,0.951118,0.951858,0.950899
83,0.319726,0.005693,0.314033,6.556761,4.970142,0.263374,6.663395,5.066298,0.576804,0.939718,0.940650,0.943346,0.939718
84,0.321447,0.006327,0.315121,6.008552,4.452244,-0.626635,6.070641,4.469281,-0.186742,0.942635,0.943516,0.951629,0.942635
85,0.310594,0.005591,0.305004,6.307527,4.762760,-0.619021,6.304991,4.842341,0.308972,0.943121,0.944145,0.947172,0.943121
86,0.345838,0.006633,0.339205,5.988075,4.509449,0.342941,6.238022,4.759389,0.541553,0.949927,0.950639,0.953137,0.949927
87,0.355916,0.006431,0.349485,7.737603,5.548199,0.386490,7.653067,5.495188,0.650982,0.943607,0.944483,0.947508,0.943607
88,0.301369,0.005511,0.295857,6.723530,5.132106,-0.446777,6.475639,4.962845,-0.353221,0.943607,0.944551,0.947454,0.943607
89,0.301259,0.006137,0.295123,6.912314,5.232720,-0.478176,6.977193,5.294348,0.189837,0.941663,0.942159,0.943520,0.941663
90,0.341442,0.006168,0.335273,6.011926,4.544245,0.012176,6.050641,4.609387,0.437995,0.945552,0.946080,0.947703,0.945552
91,0.292034,0.005682,0.286352,7.203128,5.541252,-2.987813,6.885707,5.265975,-1.784549,0.938746,0.939411,0.940676,0.938746
92,0.322887,0.006226,0.316661,6.490105,4.931715,-0.173587,6.903625,5.296657,-0.364188,0.955275,0.955667,0.958345,0.955275
93,0.296849,0.005725,0.291124,6.757601,5.018734,0.191443,7.148475,5.355916,0.078008,0.948955,0.950275,0.956294,0.948955
94,0.293338,0.005585,0.287753,6.315337,4.739584,-0.163159,6.340395,4.801527,-0.349219,0.939718,0.940344,0.943846,0.939718
95,0.268289,0.005034,0.263255,5.982446,4.333067,0.249757,5.958427,4.467730,-0.460344,0.953816,0.954567,0.957069,0.953816
96,0.306795,0.005415,0.301380,6.777835,5.062447,-0.782436,6.729599,5.085070,-0.094621,0.946524,0.946620,0.947062,0.946524
97,0.270748,0.005553,0.265195,7.445137,5.637533,-1.849751,7.537115,5.708642,-1.608263,0.952358,0.952976,0.956707,0.952358
98,0.314947,0.006043,0.308904,6.247892,4.607895,-0.163954,6.451820,4.764720,0.204387,0.949441,0.949620,0.951676,0.949441
99,0.263419,0.004784,0.258635,6.011916,4.552220,-0.814986,6.153701,4.786861,-1.002641,0.956733,0.957171,0.959060,0.956733
100,0.258467,0.005096,0.253372,5.728192,4.340237,-0.685475,5.714591,4.357275,-0.793896,0.944093,0.944964,0.950093,0.944093
